date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:37	112/112	---M-Z	200	added ('OK')	text/plain	date:Wed,%2025%20May%202022%2001:36:34%20GMT	https://paginadecompra.com/robots.txt		(from )
22:36:37	39424/39424	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20May%202022%2001:36:34%20GMT	https://paginadecompra.com/pagina-de-obrigado-braip/	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/pagina-de-obrigado-braip/index.html	(from )
22:36:37	88870/88870	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20May%202022%2000:17:50%20GMT	https://paginadecompra.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-includes/css/dist/block-library/style.minf049.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:37	4570/4570	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2020:44:22%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress/assets/css/default.css?ver=6.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress/assets/css/defaultf049.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:38	144831/144831	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2020:44:22%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress/assets/css/bootstrap.min.css?ver=4.0.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress/assets/css/bootstrap.mincce7.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:38	9929/9929	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2020:44:03%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress-business/style.css?ver=6.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress-business/stylef049.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:38	30999/30999	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:38	4036/4036	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2020:44:22%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress/assets/css/jquery.smartmenus.bootstrap-4.css?ver=6.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress/assets/css/jquery.smartmenus.bootstrap-4f049.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:39	19128/19128	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:39	163326/163326	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:40:33%20GMT	https://paginadecompra.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.3	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor/assets/css/frontend.mina767.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:39	1118/1118	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2017:59:08%20GMT	https://paginadecompra.com/wp-content/uploads/elementor/css/post-58.css?ver=1649872748	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/uploads/elementor/css/post-58a28b.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:39	212813/212813	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Oct%202021%2016:31:44%20GMT	https://paginadecompra.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.0.5	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/plugins/elementor-pro/assets/css/frontend.min8d18.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:39	33966/33966	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2018:38:49%20GMT	https://paginadecompra.com/wp-content/uploads/elementor/css/global.css?ver=1649875129	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/uploads/elementor/css/global5ce8.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:40	2699/2699	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2018:38:49%20GMT	https://paginadecompra.com/wp-content/uploads/elementor/css/post-3649.css?ver=1649875129	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/uploads/elementor/css/post-36495ce8.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:40	76721/76721	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2020:44:22%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress/style.css?ver=6.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress/stylef049.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:40	4595/4595	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Apr%202021%2020:44:03%20GMT	https://paginadecompra.com/wp-content/themes/cloudpress-business/assets/css/default.css?ver=6.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-content/themes/cloudpress-business/assets/css/defaultf049.css	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
22:36:40	89521/89521	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2000:34:18%20GMT	https://paginadecompra.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/George/Desktop/despertarsaude/DOWNLOADS/httrack/SITES/obrigado/paginadecompra.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://paginadecompra.com/pagina-de-obrigado-braip/)
